,C11,C12,C44,C11,C12,C44
Ag,-8.1,-7,0.3,2.2,3.6,5.7
AgAl(98.4-1.6),1.5,7.4,4.2,-0.5,-0.1,5
AgAu(96-4),2.7,4.3,-2.2,2.7,4.4,6.5
AgBr,-16,-34.7,-4,-9.7,-16.2,1.1
AgCd(98.08-1.92),1.3,7.8,8,2.7,4.3,5.9
AgCl,-16.8,2.5,132,-6.2,-12.6,-1.6
AgIn(91.64-8.36),-8,-11.6,-9.2,-14.1,-18.5,1.6
AgMg(96.93-3.07),-3.7,0.9,2,2.6,4.2,5.2
AgSn(96.83-3.17),3,6,7.1,-7.7,-9.9,3.1
AgZn(97.6-2.4),14.6,20.7,8.5,-1.2,-1,5
Al,4.4,4.4,-0.9,-2.1,-4.4,-0.9
AlSb,8.4,1.7,-15.6,1.8,3.9,0.2
Au,-7.5,-12.3,-16.1,-7.5,-8.6,4.6
Au3Ag,-18,-19.2,10.2,-7.8,-9.6,3.3
Au3Ni,17.9,20.2,-18.6,0.8,1.2,2.7
AuAg,0.7,6.6,14.1,1.4,2.7,7.1
AuAg3,-4.1,-1.9,0.6,1,2.2,7.4
AuNi(57.58-42.42),-8,-5.7,13.4,-2.4,-2.7,3.7
AuNi(90.28-9.72),6.4,2.9,-17.4,-10.6,-12.5,4.2
AuNi(97.05-2.95),1.5,1.1,-2.1,-11.9,-13.8,4.5
Ba3N2,15.1,73.7,6.7,2.4,2.3,-1.6
BaO,1.1,5.5,2.5,1.5,2.9,-0.8
CaF2,3.2,-23.8,-3.6,1.4,-1.7,-1.4
CdTe,23.3,23.1,-20.8,-1.6,-2.4,0.3
Co-fcc,5.6,9.4,-2.1,-2.9,-4.2,0.1
CoO,-2.5,-4.8,3.5,0.2,1,1.1
Cr,-0.3,2.9,-3.5,0.3,-6,-0.9
Cu,9.9,18.6,-3.6,-8.6,-11.8,2.1
Cu3Au,6,14.9,17.2,1.7,2.3,-0.4
CuAl(95.19-4.81),2.4,1.9,-2.9,-10,-13.6,2.5
CuAlNi(Cu–14.3Al–4.2%Ni (wt.%)),1.9,1.3,-6.6,-24.3,-28.8,-22.9
CuGa(95.85-4.15),0,0.6,-11.4,-10.2,-13.8,2.7
CuGa(98.42-1.58),2.8,3.8,-2.3,-8.4,-11.5,3.2
CuGe(98.97-1.03),1.8,4.1,-3.8,-9.3,-12.6,2.5
CuNi(96.98-3.02),4.1,7.7,-2.7,-8.4,-11.5,2.4
CuSi(95.83-4.17),0.5,0.3,-6.9,-10.8,-14.6,2.1
CuZn(77.3-22.7),4.8,5.9,-8.2,0.3,0.3,-0.7
CuZn(95.41-4.59),-5.6,-7.2,-8.1,-9.5,-12.8,2.9
F3KMg,-6.9,-37,-10.4,-3.9,-20.6,-1
Fe,-4.2,-9.5,-2.4,-2.4,-4.5,-0.8
FeAl(59.89-40.11),-3.9,-3.9,0.5,-1.6,-3.8,-4.8
FeAl(66-34),0,1.6,3.6,2.3,2.7,-5.4
FeAl(71.92-28.08),4.9,7.9,4.5,-11.4,-16.6,-8.5
FeAl(74.95-25.05),2.2,5.5,5.9,-7.2,-10.3,-8.4
FeAl(80.17-19.83),-2.8,2.7,5.9,-3.1,-5.9,-9.4
FeAl(85.5-14.5),3.6,8.7,1,-2.7,-5.5,-5.7
FeAl(90.35-9.65),-1.3,0.1,11.9,-6.1,-11.7,-5.7
FeAl(96.03-3.97),0.7,4.5,0.5,-3.2,-6.9,-4.5
FeCr2O4(Chromite),1.6,-3.4,5.4,-3,-7.5,0
GaAs,5.3,-5.7,-10.2,-3.4,-8.6,-0.3
GaP,5.8,-3.7,-12,-3.3,-9.1,-0.9
Garnet(21.8% FeO),0.8,-10.3,-12,-3.6,-8.6,0
Garnet(22.7% FeO),2.4,25.6,17.1,-1.7,-2.7,1.1
Garnet(23.6% FeO),-5,-5,-4.9,-3.2,-6.7,0.4
Garnet(26.2% FeO),0.1,3.5,-12.6,-6.6,-10.5,2.6
Garnet(28.7% FeO),0,2.7,-8.1,3.2,4.9,-1.1
Garnet(33.5% FeO),-0.4,1.3,-6.5,4.5,10.7,-1.3
GaSb,2.1,-9.8,-14.4,-2.3,-6.9,-1.7
HfCo2,-3.3,-12,-3.2,-2.2,-5.2,-0.4
HgTe,15.4,25.9,4.3,-2.6,-3.9,-0.3
InAs,-6.3,-4.1,1.3,-2.9,-6.7,-2.2
InP,-0.1,0.9,-10.5,-0.8,-2.4,-2.2
InSb,5.4,7.8,-10.3,0.9,2.1,0.2
KF,14.7,29.7,-0.6,8.5,24.3,-3.3
LiF,4.4,10.8,-1.1,-3,-7.6,1.2
Magnetite,-1.4,9.3,0.7,1.7,3.8,-0.7
Mg2Sn,0.8,-19.1,-4.7,0.3,-4.4,-1.7
MgAg,-15.5,-23.1,-2.5,0.5,1.4,3.8
MgAl2O4(Spinel),-1,-1.7,9.6,-1.8,-4.7,-3
MgCu2,-0.4,7.9,8.4,-1.1,-1.6,0.8
MnO,0.9,4.8,0.5,-1.2,-2.8,-0.7
Mo,-3.7,4.8,-0.1,14.1,41.8,-1
MoRe(73.1-26.9),-3.6,-9.5,-3.2,-5.4,-15.5,-0.7
MoRe(83.4-16.6),-3.9,-12.2,-4,3.6,8.1,-1
MoRe(93-7),-2.4,-0.9,-9.7,2.6,6.6,-0.6
NaBrO3,9.1,18.8,-6.2,3,7.5,-1.3
NaCl,19.6,57.1,-15.1,5.9,25.3,-0.6
NaClO3,21.4,31.2,-11.4,3.2,12.3,-0.3
NaF,5.3,8,-5.3,3.7,11,-1.7
Nb,-2.7,1.5,20,7.6,13,-1
Nb3Sn,-1.5,-9.7,-6.2,-6.1,-13.5,0.7
Ni,1.9,3.6,-7.4,-4.5,-7.3,-0.8
NiAl,-4.5,-5.4,2.6,-0.3,0.5,5.8
NiAl(90.4-9.6),-1.4,-3.9,7.5,-2.6,-5,-1.7
NiCu(31.1-68.9),1.2,2.2,-9.5,-5.6,-7.9,1.7
NiCu(53.8-46.2),-0.3,-2.5,-10.3,-2.7,-3.5,2.6
NiCu(77.2-22.8),-1.7,-3.5,-0.3,0.3,0.3,-0.7
NiCu(80-20),-2.9,-3,-9.4,1.5,2.4,-0.2
NiCu(92.7-7.3),4.6,-0.3,-5.2,1,2.3,2.6
PbF2,1.5,-3.5,-2,0.8,1,-0.5
PbS,0.1,4.8,2.1,2.6,6.4,-0.6
Pd,-1.7,2.8,16.8,-0.4,-0.2,3.2
Permalloy(Ni73.8-Fe26.2),-3.5,-4.2,4.6,0.7,1.2,0
Pt,3,6.2,3.6,-12.7,-18.2,-1.4
RbCl,-0.2,16.2,2.4,8.2,56.5,-0.6
Si,5.5,11.5,-3.4,-2.9,-6.8,1.6
Sr3N2,21.4,30.3,-10.1,1,2.4,0
SrF2,3.9,10.1,1,2.9,6.9,-1
SrO,-7.3,-27,2.5,-4.7,-26.2,-0.4
SrTiO3,3.5,21,1.8,1.3,3.7,-0.4
Ta,-4.3,-1,3.7,-3.9,-6.1,1.2
Th,-2.5,-6.7,-7.5,-2.6,-5.1,-4.6
ThO2,-4.5,-24.3,-20.4,-4.9,-31.5,-1.6
TlCl,19,47.5,-1.2,-1.3,-7.3,-1.2
UC,1.4,-22,-9.4,2.3,1.1,-1.7
UO2,-6.1,-28.3,0.1,1.8,0.5,-1
V,3.2,19.2,10.9,8.8,16.1,-1.3
ZnS,-3,-8.9,-7.1,-3.7,-6.5,-1
ZnSe,-6.8,-6.8,1.9,-3.2,-6.9,-4.8
ZnTe,7.4,14.9,-2.4,-0.2,-1.8,-3.2
ZrCo2,-4.1,-16.5,-5.5,0.4,0.3,-0.6
